"genes","255531","255527","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p","Empirical_p"
"Xanthomonas_OG0006699","0","1","12","2","140","44","7.894736842105263","95.65217391304348","1.8857142857142857","0.5279408972030482","1.0","1.0","7","6","2","0.125","0.453125","0.25"
"Xanthomonas_OG0006283","0","0","11","5","141","41","7.236842105263158","89.13043478260869","0.6397163120567376","0.5358045050323106","1.0","1.0","4","4","1","0.125","0.625","0.12903225806451613"
"Xanthomonas_OG0004307","0","0","11","5","141","41","7.236842105263158","89.13043478260869","0.6397163120567376","0.5358045050323106","1.0","1.0","8","7","2","0.0703125","0.2890625","0.21212121212121213"
"Xanthomonas_OG0004423","0","0","11","5","141","41","7.236842105263158","89.13043478260869","0.6397163120567376","0.5358045050323106","1.0","1.0","9","7","4","0.1796875","1.0","0.53125"
"Xanthomonas_OG0004454","0","0","11","5","141","41","7.236842105263158","89.13043478260869","0.6397163120567376","0.5358045050323106","1.0","1.0","8","5","4","0.7265625","1.0","0.9375"
"Xanthomonas_OG0004682","0","0","11","5","141","41","7.236842105263158","89.13043478260869","0.6397163120567376","0.5358045050323106","1.0","1.0","9","7","4","0.1796875","1.0","0.59375"
"Xanthomonas_OG0003983","0","1","32","12","120","34","21.052631578947366","73.91304347826086","0.7555555555555555","0.5440156455797418","1.0","1.0","10","8","4","0.109375","0.75390625","0.21875"
"Xanthomonas_OG0005832","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0007706","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.90625"
"Xanthomonas_OG0008815","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.40625"
"Xanthomonas_OG0009838","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.90625"
"Xanthomonas_OG0010624","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.9375"
"Xanthomonas_OG0011543","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0011822","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.53125"
"Xanthomonas_OG0012608","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.4375"
"Xanthomonas_OG0005995","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.84375"
"Xanthomonas_OG0007709","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.90625"
"Xanthomonas_OG0008962","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","3","2","1","1.0","1.0","0.9375"
"Xanthomonas_OG0009844","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","2","1","0.5","1.0","0.59375"
"Xanthomonas_OG0010625","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","0.8125"
"Xanthomonas_OG0011548","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","2","1","1","1.0","1.0","1.0"
"Xanthomonas_OG0011823","0","0","2","1","150","45","1.3157894736842104","97.82608695652173","0.6","0.549676815811696","1.0","1.0","1","1","1","1.0","1.0","0.40625"
